SMILES,Binary_Activity,QED
CN(C)Cc1nc2c(sc3ccc(-c4ccc(OC(F)(F)F)cc4)cc32)c(=O)[nH]1,1,0.5180114952295359
CN(C)Cc1nc2c(sc3ccc(-c4ccc(N(C)C)cc4)cc32)c(=O)[nH]1,1,0.5845302901110319
CN(C)Cc1nc2c(sc3ccc(-c4ccsc4)cc32)c(=O)[nH]1,1,0.6141485018752225
O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccsc3)cc12,1,0.38475345962365193
Cc1ccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)cc1O,1,0.49790911789475106
CN(C)Cc1nc2c(sc3ccc(-c4cccnc4)cc32)c(=O)[nH]1,1,0.6236598737119098
CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCC(O)CO)cc4)cc32)c(=O)[nH]1,1,0.42103070733216474
O=c1[nH]c(CNc2ccccc2)nc2c1sc1ccc(Cl)cc12,1,0.5802334446943906
CN(C)Cc1nc2c(sc3ccc(Br)cc32)c(=O)[nH]1,1,0.7815667478322029
CN(C)Cc1nc2c(sc3ccc(-c4cc(Cl)cc(Cl)c4)cc32)c(=O)[nH]1,1,0.5124147630409973
CN(C)Cc1nc2c(sc3ccc(-c4ccc(Cl)c(F)c4)cc32)c(=O)[nH]1,1,0.5558898408984622
CN(C)Cc1nc2c(sc3ccc(/C=C/C4CC4)cc32)c(=O)[nH]1,1,0.79680359142827
CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCCCN)cc4)cc32)c(=O)[nH]1,1,0.4566422640210095
CN(C)Cc1nc2c(sc3ccc(C#CCCCCN4CCCCC4)cc32)c(=O)[nH]1,1,0.47764585623531636
CN(C)Cc1nc2c(sc3ccc(-c4cccc(Cl)c4)cc32)c(=O)[nH]1,1,0.5772385053506333
Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.780196769344878
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccc(O)cc3)cc12,1,0.49774554015188227
CN(C)Cc1nc2c(sc3ccc(-c4ccccc4)cc32)c(=O)[nH]1,1,0.6182327759880109
CN(C)Cc1nc2c(sc3ccc(-c4cc(F)cc(Cl)c4)cc32)c(=O)[nH]1,1,0.5558898408984622
CN(C)Cc1nc2c(sc3ccc(C(F)(F)F)cc32)c(=O)[nH]1,1,0.7861206679955232
Cc1c(O)cccc1NCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,1,0.4979091178947512
CC(C)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.8070596677446096
CN(C)Cc1nc2c(sc3ccc(-c4cccc(O)c4)cc32)c(=O)[nH]1,1,0.5919525813826068
O=c1[nH]c(CNCCc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12,1,0.4561177513540171
O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Br)cc12,1,0.479696919139327
Cc1cscc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.5979908471557333
O=c1[nH]c(CN2CCCC(O)C2)nc2c1sc1ccc(Cl)cc12,1,0.7460641570226161
CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)cc4)cc32)c(=O)[nH]1,1,0.5919525813826068
CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,1,0.7700033345732222
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1,0.3732159623688665
CCNC(=O)NCc1ccccc1-c1cc(-c2cnc(NC(C)C)s2)nc(NCCN(C)C)n1,0,0.3285158610802564
CC1Cc2nc3cc4cn[nH]c4cc3nc2C1C,0,0.6548574765346977
c1ccc(C2Cc3nc4cc5cn[nH]c5cc4nc3C2)cc1,0,0.5833016332740293
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0,0.5155344149379016
COc1cc(Br)cc2cc(C#N)oc12,0,0.782909484890071
CCCNC1=N/C(=C\c2ccc(Br)cc2)C(=O)N1C,0,0.8696722630232769
