"SMILES","Binary_Activity"
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12",1
"N[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"N[C@@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(CN2CCCC2)nc2c1oc1ccc(Br)cc12",1
"CO[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=C(O)C1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(C2CNC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c([C@H]2CCCN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCCNC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCNCC2)nc2c1oc1ccc(Br)cc12",1
"CC(N)c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"CN1CCC[C@H]1c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"O=c1[nH]c([C@@H]2C[C@@H](O)CN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c([C@@H]2C[C@H](F)CN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12",1
"COc1ccc2oc3c(=O)[nH]c([C@@H]4CCCN4)nc3c2c1",1
"O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Cl)cc12",1
"COc1ccc2oc3c(=O)[nH]c([C@@H]4C[C@@H](F)CN4)nc3c2c1",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12",1
"N[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"N[C@@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(CN2CCCC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccccc12",0
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Cl)cc12",1
"Cc1cc(-c2cc(-c3ccccc3Cl)[nH]c(=O)n2)ccc1O",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Br)cc12",1
"Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"COc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(-c3ccccc3)cc12",0
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(C(F)(F)F)cc12",1
"Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",0
"CC(=O)Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",0
"COc1ccc2c(c1)oc1c(=O)[nH]c(-c3ccccc3Cl)nc12",0
"O=c1[nH]c(-c2ccc(F)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2cc(F)ccc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2c(F)cccc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2cccc(Cl)c2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2ccc(Cl)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"COc1cccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c1Cl",1
"NCc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=C(NCCN1CCCCC1)c1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=c1[nH]c(-c2ccc(CNC3CCNCC3)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=C(CCN1CCCCC1)Nc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=c1[nH]c(-c2ccc(NCC3CCNCC3)cc2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CCCCC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CCC2)nc2c1oc1ccc(Br)cc12",1
"CN1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)CC1",1
"CC(c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1)N1CCN(C)CC1",1
"CN1C[C@@H]2C[C@H]1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"CN1C[C@@H]2CC[C@H]1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"CN1CCCC(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(CN2CC(O)C2)nc2c1oc1ccc(Br)cc12",1
"CN1CCN(Cc2nc3c(oc4ccc(Cl)cc43)c(=O)[nH]2)CC1",1
"CN1CCN(Cc2nc3c(oc4ccc(I)cc43)c(=O)[nH]2)CC1",1
"O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c1ccc(O)c2CN1CCCNCC1",1
"O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c1ccc(O)c2CN1CCNCC1",1
"O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c(CN3CCNCC3)cccc21",1
"COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3ccccc13)C2=O",1
"CCOc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3ccccc13)C2=O",1
"CCCOc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3ccccc13)C2=O",1
"O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c1ccc(OCc1ccccc1)c2CN1CCNCC1",1
"COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3ncccc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3cnccc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1c[nH]c3ccncc13)C2=O",1
"COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1n[nH]c3ccccc13)C2=O",1
"Nc1nc2c(-c3ccco3)nccc2[nH]1",0
"Nc1nc2c(-c3cccs3)nccc2[nH]1",0
"Nc1nc2c(-c3ccoc3)nccc2[nH]1",0
"Nc1nc2c(-c3ccsc3)nccc2[nH]1",0
"Nc1nc2c(-c3ccccn3)nccc2[nH]1",0
"Nc1nc2c(-c3cccnc3)nccc2[nH]1",0
"Nc1nc2c(-c3ccccc3)nccc2[nH]1",0
"Nc1nc2c(-c3ccc[nH]3)nccc2[nH]1",0
"O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21",1
"O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12",1
"O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1[N+](=O)[O-]",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3(F)CCNCC3)nc12",1
"O=C(Nc1ccc(F)cc1)c1cnn2c(O)cc(C3CCNCC3)nc12",1
"N#Cc1ccc(Cc2cc(O)n3ncc(C(=O)Nc4ccc(F)cc4)c3n2)cc1",1
"N#Cc1ccc(Cc2cc(O)n3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2)cc1",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCCc3ccccc3)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)nc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(CCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(OCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NC[C@@H]3CCNC[C@@H]3F)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NC[C@H]3CCNC[C@H]3F)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NC[C@@H]3CCNC[C@H]3F)nc12",1
"CN(C)CCNc1ccn2ncc(-c3cn[nH]c3)c2n1",1
"NCCNc1ccn2ncc(-c3cc(-c4ccccc4)no3)c2n1",1
"NCCNc1ccn2ncc(-c3cccc(-c4ccco4)c3)c2n1",1
"Cc1nnc(-c2cccc(-c3cnn4ccc(NCCN)nc34)c2)o1",1
"NCCNc1ccn2ncc(-c3cccc(-c4ncc[nH]4)c3)c2n1",0
"NCCNc1ccn2ncc(-c3cccc(OCc4ccccc4)c3)c2n1",1
"c1ccc2cc(-c3cnn4ccc(N5CCNCC5)nc34)ccc2c1",1
"NCCNc1ccn2ncc(-c3ccc4ccccc4c3)c2n1",1
"c1ccc2cc(-c3cnn4ccc(NC5CNC5)nc34)ccc2c1",1
"NCCCNc1ccn2ncc(-c3ccc4ccccc4c3)c2n1",1
"CN(C)CCNc1ccn2ncc(-c3ccc4ccccc4c3)c2n1",1
"CCN1CCCC1CNc1ccn2ncc(-c3ccc4ccccc4c3)c2n1",1
"NCCNc1ccn2ncc(-c3ccc4sccc4c3)c2n1",1
"NCCNc1ccn2ncc(-c3ccc4scnc4c3)c2n1",1
"NCCNc1ccn2ncc(-c3ccc4[nH]c(=O)[nH]c4c3)c2n1",1
"NCCNc1ccn2ncc(-c3ccc4cn[nH]c4c3)c2n1",1
"NCCNc1ccn2ncc(-c3cccc(-c4ccccc4)c3)c2n1",1
"NCCNc1ccn2ncc(-c3cccc(N4CCCCC4)c3)c2n1",0
"c1cncc(CNc2ccn3ncc(-c4ccc5ccccc5c4)c3n2)c1",1
"c1ccc2cc(-c3cnn4ccc(NC5CCCCC5)nc34)ccc2c1",0
"O[C@H]1CC[C@H](Nc2ccn3ncc(-c4ccc5ccccc5c4)c3n2)CC1",1
"N[C@H]1CC[C@H](Nc2ccn3ncc(-c4ccc5ccccc5c4)c3n2)CC1",1
"N[C@@H]1CCCC[C@H]1Nc1ccn2ncc(-c3ccc4ccccc4c3)c2n1",1
"CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1",1
"N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1",1
"Nc1nccnc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1",1
"Nc1cccnc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1",1
"Nc1ccc(Oc2ccccc2)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1",1
"Nc1nccc(-c2ccc(N)c(C(=O)Nc3cnccc3N3CCC[C@H](N)C3)n2)n1",1
