"SMILES","Binary_Activity"
"O=c1[nH]c(CN2CCC(O)C2)nc2c1sc1ccc(-c3ccc(O)cc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccccc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cc(F)cc(Cl)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(C(F)(F)F)cc32)c(=O)[nH]1",1
"Cc1c(O)cccc1NCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CC(C)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(O)c4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNCCc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CCOCC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Br)cc12",1
"Cc1cscc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CCCC(O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)cc4)cc32)c(=O)[nH]1",1
"CCN1C(=CC(C)=O)Sc2ccc(OC)cc21",1
"COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O",1
"CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O",1
"CCNC(=O)NCc1ccccc1-c1cc(-c2cnc(NC(C)C)s2)nc(NCCN(C)C)n1",1
"CC1Cc2nc3cc4cn[nH]c4cc3nc2C1C",1
"c1ccc(C2Cc3nc4cc5cn[nH]c5cc4nc3C2)cc1",1
"O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12",0
"COc1cc(Br)cc2cc(C#N)oc12",1
"CCCNC1=NC(=Cc2ccc(Br)cc2)C(=O)N1C",1
"CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21",1
"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1",1
"CC(Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F",1
"CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1",1
"Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12",1
"CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21",1
"Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O",1
"FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1",1
"FC(F)(F)Oc1cccc(-n2nnc3ccc(NC4CCNCC4)nc32)c1",1
"FC(F)(F)Oc1cccc(-n2nnc3ccc(NC4CC5(CCNCC5)C4)nc32)c1",1
"FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CC5(CCNCC5)C4)nc32)c1",1
"OC1CCC(Nc2ccc3nnn(-c4cccc(OC(F)(F)F)c4)c3n2)CC1",1
"CN(C)c1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1",1
"FC(F)(F)c1cccc(-n2nnc3ccc(NCC4CC5(CCNCC5)C4)nc32)c1",1
"FC(F)(F)c1cccc(-n2nnc3ccc(NC4CC5(CCNCC5)C4)nc32)c1",1
"COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(OC(F)(F)F)c1",1
"COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(N(C)C)c1",1
"FC(F)(F)Oc1cccc(-n2nnc3cc(Cl)c(NCC4CCNCC4)nc32)c1",1
"CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1",1
"FC(F)(F)c1ccc(-c2nnc3ccc(NC4CCCCC4)nn23)cc1",1
"Nc1cncc(-c2ccc3noc(-c4ccc(C(F)(F)F)cc4)c3c2)n1",1
"O=C(O)c1cccc2c(-c3ccccc3)c(-c3ccccc3)[nH]c12",0
"N#Cc1c(-c2ccccc2)cc(-c2ccccc2O)[nH]c1=O",0
"O=c1[nH]c(CN2CCC(O)C2)nc2c1oc1ccc(Br)cc12",1
"NC1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(CN2CCCC2)nc2c1oc1ccc(Br)cc12",1
"COC1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=C(O)C1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1",1
"O=c1[nH]c(C2CNC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCCNC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCNCC2)nc2c1oc1ccc(Br)cc12",1
"CC(N)c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"CN1CCCC1c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"O=c1[nH]c(C2CC(O)CN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CC(F)CN2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Cl)cc12",1
"COc1ccc2oc3c(=O)[nH]c(C4CCCN4)nc3c2c1",1
"O=c1[nH]c(C2CC(F)CN2)nc2c1oc1ccc(Cl)cc12",1
"COc1ccc2oc3c(=O)[nH]c(C4CC(F)CN4)nc3c2c1",1
"Cc1cc(-c2cc(-c3ccccc3)[nH]c(=O)n2)ccc1O",0
"O=c1[nH]cnc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccccc12",0
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Cl)cc12",1
"Cc1cc(-c2cc(-c3ccccc3Cl)[nH]c(=O)n2)ccc1O",0
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Br)cc12",1
"Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"COc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(O)cc12",1
"N#Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(-c3ccccc3)cc12",0
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(OC(F)(F)F)cc12",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(C(F)(F)F)cc12",1
"Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"CNc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"CC(=O)Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1",1
"O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1cc(O)ccc12",1
"COc1ccc2c(c1)oc1c(=O)[nH]c(-c3ccccc3Cl)nc12",1
"COc1cccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c12",1
"O=c1[nH]c(-c2c(F)cccc2Cl)nc2c1oc1ccc(C3CC3)cc12",1
"CC(C)c1ccccc1-c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"O=c1[nH]c(-c2ccc(F)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2cc(F)ccc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2c(F)cccc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2cccc(Cl)c2Cl)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(-c2ccc(Cl)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"COc1cccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c1Cl",1
"NCc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=C(NCCN1CCCCC1)c1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=c1[nH]c(-c2ccc(CNC3CCNCC3)cc2Cl)nc2c1oc1ccc(Br)cc12",1
"O=C(CCN1CCCCC1)Nc1ccc(-c2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)c(Cl)c1",1
"O=c1[nH]c(-c2ccc(NCC3CCNCC3)cc2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CCCCC2)nc2c1oc1ccc(Br)cc12",1
"O=c1[nH]c(CN2CCC2)nc2c1oc1ccc(Br)cc12",1
"CN1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)CC1",1
"CC(c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1)N1CCN(C)CC1",1
"CN1CC2CC1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
"CN1CC2CCC1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1",1
